source,source_system,source_module,record_id,record_number,record_type,record_subtype,record_category,record_status,opened_date,filed_date,issued_date,expiration_date,completed_date,closed_date,updated_date,event_date,event_date_type,first_observed_date,snapshot_date,last_observed_date,historical_reconstruction,temporal_evidence,description,work_description,address,street_number,street_name,city,state,postal_code,parcel_id,property_id,valuation,estimated_cost,owner_name,applicant_name,contractor_name,contractor_license,parent_record_number,related_record_numbers,latitude,longitude,source_url,retrieved_at,raw_source_file
City of Tampa,Accela Citizen Access,Building,acc-f5cb42f9a66232d26229,BLD-26-0527744,Residential Miscellaneous Permit,,,Awaiting Client Reply,2026-08-31,,,2027-03-06,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,4123 N Boulevard T 33603,4123,N Boulevard T 33603,,,33603,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-3486eac1ad61a05e5812,BLD-26-0527745,Residential Miscellaneous Permit,,,In Process,2026-08-31,,,2027-03-06,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,3312 W Hawthorne Rd T 33611,3312,W Hawthorne Rd T 33611,,,33611,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-0a1f53fd1fdceefd5278,BLD-26-0527746,Residential Miscellaneous Permit,,,In Process,2026-08-31,,,2027-02-27,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,217 W Violet St T 33603,217,W Violet St T 33603,,,33603,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-6af50c9713e7b08348b5,BLD-26-0527747,Commercial Miscellaneous Permit,,,In Process,2026-08-31,,,2027-02-27,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,4925 Independence Pkwy T 33634,4925,Independence Pkwy T 33634,,,33634,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-5072679d546114231523,BLD-26-0527748,Residential Building Alterations (Renovations),,,In Process,2026-08-31,,,2027-02-27,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,103 W Mohawk Ave C T 33604,103,W Mohawk Ave C T 33604,,,33604,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-a52d92560ff2b590e3d9,BLDCO-26-000900,Add Contact to a Building Record,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,,,,,,,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-8c42ed76a15192bb07e8,BLDCO-26-000901,Add Contact to a Building Record,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,,,,,,,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-876f7cc6e6ce52becba7,BLDCO-26-000902,Add Contact to a Building Record,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,,,,,,,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-7002a3b2a2bce473e966,BLDCO-26-000903,Add Contact to a Building Record,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,,,,,,,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-fe7379093a1b097641cd,BLDCO-26-000904,Add Contact to a Building Record,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,,,,,,,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-6bb30deacc5ac8418fa0,BLDCO-26-000905,Add Contact to a Building Record,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,,,,,,,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-8a14a1c70255864dd56a,BLDEXT-26-0001654,Residential Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,710 S Newport Ave T 33606,710,S Newport Ave T 33606,,,33606,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-d058756d5182e86a48e1,BLDEXT-26-0001655,Residential Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,210 N Bradford Ave T 33609,210,N Bradford Ave T 33609,,,33609,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-518f04f97b933bea2485,BLDEXT-26-0001656,Residential Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,8118 N Rome Ave T 33604,8118,N Rome Ave T 33604,,,33604,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-358c1e6ebdb27c07f401,BLDEXT-26-0001657,Residential Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,10107 N Newport Ave T 33612,10107,N Newport Ave T 33612,,,10107,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-d575a1f42eca71d3e508,BLDEXT-26-0001658,Commercial Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,800 S Dakota Ave T 33606,800,S Dakota Ave T 33606,,,33606,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-49b1ee512989b1208cd1,BLDEXT-26-0001659,Commercial Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,5660 W Cypress St T 33607,5660,W Cypress St T 33607,,,33607,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-1d3136230ed0065a37c2,BLDEXT-26-0001660,Commercial Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,2403 W Azeele St T 33609,2403,W Azeele St T 33609,,,33609,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-d3a98fab4ef49fd667a8,BLDEXT-26-0001661,Commercial Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,809 W Linebaugh Ave T 33612,809,W Linebaugh Ave T 33612,,,33612,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-7cf7d34f63a0b0fbd29e,BLDEXT-26-0001662,Commercial Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,5710 Adamo Dr T 33619,5710,Adamo Dr T 33619,,,33619,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-481eb7e1db608345b2f2,BLDEXT-26-0001663,Residential Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,3324 W Cordelia St T 33607,3324,W Cordelia St T 33607,,,33607,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-54352df91cb131b304be,BLDEXT-26-0001664,Residential Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,710 E Robson St T 33604,710,E Robson St T 33604,,,33604,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-46a65f382eba73840168,BLDEXT-26-0001665,Commercial Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,4001 E Fowler Ave -4019 T 33617,4001,E Fowler Ave -4019 T 33617,,,33617,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-4ef8f2077274be7b7c42,BLDEXT-26-0001666,Residential Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,410 S Sterling Ave T 33609,410,S Sterling Ave T 33609,,,33609,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-33056e57fe1761e7045a,BLDEXT-26-0001667,Residential Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,8514 Sandpiper Ridge Ave T 33647,8514,Sandpiper Ridge Ave T 33647,,,33647,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-7fb254447b2281014038,BLDEXT-26-0001668,Residential Permit Extension,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,4724 W Leila Ave T 33616,4724,W Leila Ave T 33616,,,33616,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-27f1d863f6594c28c10f,BLDLP-26-009407,Add Contractor License To a Record,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,,,,,,,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-ab3bd7887922d0bb0011,BLDLP-26-009408,Add Contractor License To a Record,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,,,,,,,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-e80eb1353fcb9280b9bd,BLDLP-26-009409,Add Contractor License To a Record,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,,,,,,,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-cfb6ab8558ecf26ff705,BLDLP-26-009410,Add Contractor License To a Record,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,,,,,,,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-5eec6e3cfef4a26897bd,BLDLP-26-009411,Add Contractor License To a Record,,,Complete,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,,,,,,,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
